ID,Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Header.Length.1,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label
2,179.1.4.244-10.200.7.196-443-43024-6,10.200.7.196,43024,179.1.4.244,443,6,26/04/201711:11:53,65552,14,8,373,5252,223,0,26.6428571428571,69.2216141687831,1436,0,656.5,629.575820918906,85809.7388332926,335.611422992434,3121.52380952381,5149.1326028667,16242,0,65552,5042.46153846154,8776.12979066309,28060,0,40687,5812.42857142857,8387.02167751149,21379,0,0,0,0,0,468,264,213.57090554064,122.040517451794,0,1436,244.565217391304,472.856294341964,223593.075098814,0,0,0,1,0,0,0,0,0,255.681818181818,26.6428571428571,656.5,468,0,0,0,0,0,0,14,373,8,5252,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
3,179.1.4.244-10.200.7.196-443-43031-6,10.200.7.196,43031,179.1.4.244,443,6,26/04/201711:11:54,107032,14,12,373,10784,223,0,26.6428571428571,69.2216141687831,1436,0,898.666666666667,617.268813304858,104239.853501756,242.918005830032,4281.28,9401.18312820253,39473,0,107032,8233.23076923077,13633.2010923936,39473,1,74405,6764.09090909091,15098.0097791368,48067,0,0,0,0,0,468,392,130.802003139248,112.116002690784,0,1436,413.222222222222,599.498465599713,359398.41025641,0,0,0,1,0,0,0,0,0,429.115384615385,26.6428571428571,898.666666666667,468,0,0,0,0,0,0,14,373,12,10784,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
4,179.1.4.244-10.200.7.196-443-43064-6,10.200.7.196,43064,179.1.4.244,443,6,26/04/201711:11:58,75351,14,11,373,10784,223,0,26.6428571428571,69.2216141687831,2660,0,980.363636363636,817.007744483156,148067.046223673,331.78060012475,3139.625,5354.14458569856,17865,0,75351,5796.23076923077,9061.02510898414,29446,0,50419,5041.9,9189.93437831728,25772,0,0,0,0,0,536,360,185.79713606986,145.98346405489,0,2660,429.115384615385,708.006967588488,501273.866153846,0,0,0,1,0,0,0,0,0,446.28,26.6428571428571,980.363636363636,536,0,0,0,0,0,0,14,373,11,10784,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
5,179.1.4.244-10.200.7.196-443-43076-6,10.200.7.196,43076,179.1.4.244,443,6,26/04/201711:12:00,65862,15,13,373,11396,223,0,24.8666666666667,67.05740256001,1436,0,876.615384615385,585.702219343234,178691.810148492,425.131335216058,2439.33333333333,5375.58819679656,19277,0,65862,4704.42857142857,10271.8446528084,38242,0,39747,3312.25,6435.94857210087,20717,0,0,0,0,0,596,424,227.748929580031,197.382405636027,0,1436,405.827586206897,579.486168266183,335804.219211823,0,0,0,1,0,0,0,0,0,420.321428571429,24.8666666666667,876.615384615385,596,0,0,0,0,0,0,15,373,13,11396,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
6,179.1.4.244-10.200.7.196-443-43092-6,10.200.7.196,43092,179.1.4.244,443,6,26/04/201711:12:03,148901,17,11,373,10784,223,0,21.9411764705882,63.2677550062385,3011,0,980.363636363636,981.993306772228,74928.9796576249,188.044405343147,5514.85185185185,13574.6286496982,62515,0,148901,9306.3125,18535.7175914278,62515,0,43952,4395.2,6584.8148678945,19629,0,0,0,0,0,616,360,114.169817529768,73.8745878133793,0,3011,384.724137931035,755.815826798704,571257.564039409,0,0,0,1,0,0,0,0,0,398.464285714286,21.9411764705882,980.363636363636,616,0,0,0,0,0,0,17,373,11,10784,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
7,179.1.4.244-10.200.7.196-443-43215-6,10.200.7.196,43215,179.1.4.244,443,6,26/04/201711:12:18,55742,15,13,373,12220,223,0,24.8666666666667,67.05740256001,1436,0,940,599.112259931309,225915.826486312,502.3142334326,2064.51851851852,3600.72337145202,12213,0,55742,3981.57142857143,6801.3480305721,22978,0,37612,3134.33333333333,4864.1910162353,13310,0,0,0,0,0,632,424,269.096910767464,233.217322665136,0,1436,434.241379310345,609.386497996868,371351.903940887,0,0,0,1,0,0,0,0,0,449.75,24.8666666666667,940,632,0,0,0,0,0,0,15,373,13,12220,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
8,178.33.165.53-10.200.7.217-443-50580-6,10.200.7.217,50580,178.33.165.53,443,6,26/04/201711:12:29,339184,10,6,306,260,102,0,30.6,43.00697617829,130,0,43.3333333333333,67.1317113342619,1668.71078824473,47.1720364168121,22612.2666666667,56562.411624514,164073,0,339184,37687.1111111111,70768.9679298851,165196,0,168555,33711,74794.9556754999,167506,1,0,0,0,0,328,208,29.4825227605076,17.6895136563045,0,130,33.2941176470588,50.5998575910575,2560.34558823529,0,0,0,1,0,0,0,0,0,35.375,30.6,43.3333333333333,328,0,0,0,0,0,0,10,306,6,260,14600,227,4,32,0,0,0,0,0,0,0,0,BENIGN
9,178.33.165.53-10.200.7.217-443-50580-6,10.200.7.217,50580,178.33.165.53,443,6,26/04/201711:12:29,172801,1,1,0,0,0,0,0,0,0,0,0,0,0,11.5740070948663,172801,0,172801,172801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5.78700354743317,5.78700354743317,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,490,227,0,32,0,0,0,0,0,0,0,0,BENIGN
10,179.1.4.244-10.200.7.196-443-43320-6,10.200.7.196,43320,179.1.4.244,443,6,26/04/201711:12:30,87755,15,10,373,10784,223,0,24.8666666666667,67.05740256001,4308,0,1078.4,1274.77930116027,127138.054811692,284.884052190758,3656.45833333333,8438.18046520728,39633,0,87755,6268.21428571429,13249.4683677298,49299,0,39777,4419.66666666667,7384.35227355792,19413,0,0,0,0,0,512,328,170.930431314455,113.953620876303,0,4308,429.115384615385,928.215807963776,861584.586153846,0,0,0,1,0,0,0,0,0,446.28,24.8666666666667,1078.4,512,0,0,0,0,0,0,15,373,10,10784,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
11,179.1.4.244-10.200.7.196-443-43341-6,10.200.7.196,43341,179.1.4.244,443,6,26/04/201711:12:33,121945,16,12,373,11396,223,0,23.3125,65.0811992821275,2305,0,949.666666666667,734.250432052782,96510.7220468244,229.61171019722,4516.48148148148,10071.0109887827,39708,0,121945,8129.66666666667,15366.193518178,51836,0,40556,3686.90909090909,5266.68443054158,14470,0,0,0,0,0,624,392,131.206691541269,98.4050186559515,0,2305,405.827586206897,655.983616354942,430314.504926108,0,0,0,1,0,0,0,0,0,420.321428571429,23.3125,949.666666666667,624,0,0,0,0,0,0,16,373,12,11396,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
12,179.1.4.245-10.200.7.196-443-47684-6,10.200.7.196,47684,179.1.4.245,443,6,26/04/201711:12:52,89226,14,7,223,4428,223,0,15.9285714285714,59.5992569464706,1436,0,632.571428571429,620.211753393645,52126.0619102055,235.357407033824,4461.3,9200.25163900709,36820,0,89226,6863.53846153846,15818.0981295444,56886,0,61071,10178.5,13750.5498326431,36885,101,0,0,0,0,540,232,156.904938022549,78.4524690112747,0,1436,211.409090909091,445.905569662767,198831.777056277,0,0,0,1,0,0,0,0,0,221.47619047619,15.9285714285714,632.571428571429,540,0,0,0,0,0,0,14,223,7,4428,14600,243,1,32,0,0,0,0,0,0,0,0,BENIGN
13,179.1.4.245-10.200.7.196-443-47696-6,10.200.7.196,47696,179.1.4.245,443,6,26/04/201711:12:53,62565,13,12,373,11396,223,0,28.6923076923077,71.6046839894624,2517,0,949.666666666667,762.096669283716,188108.36729801,399.584432190522,2606.875,4386.38113009782,14437,0,62565,5213.75,8279.38706696006,26147,0,40507,3682.45454545455,5430.94390255757,14754,0,0,0,0,0,512,392,207.783904739071,191.800527451451,0,2517,452.653846153846,691.550486504504,478242.075384615,0,0,0,1,0,0,0,0,0,470.76,28.6923076923077,949.666666666667,512,0,0,0,0,0,0,13,373,12,11396,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
14,179.1.4.245-10.200.7.196-443-47892-6,10.200.7.196,47892,179.1.4.245,443,6,26/04/201711:13:00,80146,15,12,373,12220,223,0,24.8666666666667,67.05740256001,2872,0,1018.33333333333,832.559288998069,157125.745514436,336.885184538218,3082.53846153846,6725.90312883419,31434,0,80146,5724.71428571429,11260.3990052858,41032,0,42008,3818.90909090909,5907.88704114331,17091,0,0,0,0,0,572,392,187.158435854565,149.726748683652,0,2872,449.75,732.253377772516,536195.009259259,0,0,0,1,0,0,0,0,0,466.407407407407,24.8666666666667,1018.33333333333,572,0,0,0,0,0,0,15,373,12,12220,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
15,179.1.4.216-10.200.7.196-443-58731-6,10.200.7.196,58731,179.1.4.216,443,6,26/04/201711:13:13,66602,14,12,373,12220,223,0,26.6428571428571,69.2216141687831,2660,0,1018.33333333333,790.012696484089,189078.406053872,390.378667307288,2664.08,5122.86436738927,20547,0,66602,5123.23076923077,9479.82327677971,32709,0,39218,3565.27272727273,5460.7268763583,15152,0,0,0,0,0,556,392,210.203897780847,180.174769526441,0,2660,466.407407407407,720.793220068603,519542.866096866,0,0,0,1,0,0,0,0,0,484.346153846154,26.6428571428571,1018.33333333333,556,0,0,0,0,0,0,14,373,12,12220,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
16,172.16.255.183-10.200.7.6-53-57429-17,10.200.7.6,57429,172.16.255.183,53,17,26/04/201711:11:17,119951089,3596,1184,134328,131451,71,24,37.3548387096775,5.31675980798065,326,40,111.022804054054,52.5745486436237,2215.72811231418,39.8495756883041,25099.621050429,95268.5551762017,1912525,0,119950999,33366.0636995828,113222.36962982,1993994,0,119950768,101395.408284024,181498.735669269,1913228,0,0,0,0,0,86408,29132,29.9788858106991,9.87068987760503,24,326,55.5975737293452,41.4334666842638,1716.732161476,0,0,0,0,0,0,0,0,0,55.6092050209205,37.3548387096774,111.022804054054,86408,0,0,0,0,0,0,3596,134328,1184,131451,-1,-1,3595,20,0,0,0,0,0,0,0,0,BENIGN
17,172.16.255.183-10.200.7.7-53-59979-17,10.200.7.7,59979,172.16.255.183,53,17,26/04/201711:11:17,119959473,1068,1060,42269,142602,63,28,39.5777153558052,6.95753282451384,333,45,134.530188679245,63.0668967036763,1541.11213876373,17.7393243466483,56398.4358251058,259926.501715166,4103830,0,119959419,112426.821930647,363911.672366354,4104279,0,119957218,113274.049102927,366063.416652714,4104280,0,0,0,0,0,26168,26468,8.90300676796071,8.83631757868759,28,333,86.8511038046032,65.2600055702075,4258.86832702352,0,0,0,0,0,0,0,0,0,86.8919172932331,39.5777153558052,134.530188679245,26168,0,0,0,0,0,0,1068,42269,1060,142602,-1,-1,1067,20,0,0,0,0,0,0,0,0,BENIGN
18,179.1.4.230-10.200.7.196-443-42305-6,10.200.7.196,42305,179.1.4.230,443,6,26/04/201711:13:21,134348,15,12,373,10784,223,0,24.8666666666667,67.05740256001,1436,0,898.666666666667,606.083452599682,83045.5235656653,200.970613630274,5167.23076923077,11882.1176641462,46299,0,134348,9596.28571428571,17125.2514565641,50223,0,40859,3714.45454545455,7314.26550466465,21719,0,0,0,0,0,612,392,111.650340905708,89.3202727245661,0,1436,398.464285714286,588.736656349085,346610.8505291,0,0,0,1,0,0,0,0,0,413.222222222222,24.8666666666667,898.666666666667,612,0,0,0,0,0,0,15,373,12,10784,14600,122,2,32,0,0,0,0,0,0,0,0,BENIGN
19,179.1.4.245-10.200.7.196-443-48254-6,10.200.7.196,48254,179.1.4.245,443,6,26/04/201711:13:28,122519,15,8,373,5040,223,0,24.8666666666667,67.05740256001,1436,0,630,592.677459862083,44180.9025538896,187.725985357373,5569.04545454545,11255.8140425178,39203,0,122519,8751.35714285714,15833.9209809784,49053,0,38805,5543.57142857143,7995.01221298093,20988,0,0,0,0,0,588,264,122.429990450461,65.2959949069124,0,1436,225.541666666667,441.609603231935,195019.041666667,0,0,0,1,0,0,0,0,0,235.347826086957,24.8666666666667,630,588,0,0,0,0,0,0,15,373,8,5040,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
20,179.1.4.245-10.200.7.196-443-48329-6,10.200.7.196,48329,179.1.4.245,443,6,26/04/201711:13:32,62229,17,12,373,11396,223,0,21.9411764705882,63.2677550062385,2048,0,949.666666666667,677.007900226945,189124.041845442,466.020665606068,2222.46428571429,4163.11163436182,15218,0,62229,3889.3125,7575.34475095578,27138,0,40278,3661.63636363636,5559.47739041589,15907,0,0,0,0,0,704,392,273.184528113902,192.836137492166,0,2048,392.3,624.758941098692,390323.734482758,0,0,0,1,0,0,0,0,0,405.827586206897,21.9411764705882,949.666666666667,704,0,0,0,0,0,0,17,373,12,11396,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
21,173.241.254.199-10.200.7.196-443-37457-6,10.200.7.196,37457,173.241.254.199,443,6,26/04/201711:13:29,3248522,7,5,81,268,51,0,11.5714285714286,17.5295668596151,130,2,53.6,54.3718677258746,107.43347282241,3.69398760420893,295320.181818182,816611.255870481,2751811,0,3248522,541420.333333333,1122905.79451326,2830927,1,417424,104356,81428.6954948929,169122,0,0,0,0,0,160,104,2.15482610245521,1.53916150175372,0,130,26.8461538461538,40.4162635454387,1633.47435897436,0,0,0,1,0,0,0,0,0,29.0833333333333,11.5714285714286,53.6,160,0,0,0,0,0,0,7,81,5,268,14600,35181,6,20,0,0,0,0,0,0,0,0,BENIGN
22,192.168.10.76-10.200.7.8-54635-3128-6,192.168.10.76,54635,10.200.7.8,3128,6,26/04/201711:13:33,2947630,9,21,3249,6787,1177,0,361,537.32392464881,2552,0,323.190476190476,666.58252445197,3404.76925530002,10.1776681605222,101642.413793103,369030.169863475,1897845,0,2470353,308794.125,670244.735016447,1897845,0,2947389,147369.45,444536.398026016,1917910,0,0,0,0,0,204,468,3.05330044815665,7.12436771236553,0,2552,323.741935483871,614.103409736066,377122.997849462,0,0,0,1,0,0,0,0,2,334.533333333333,361,323.190476190476,204,0,0,0,0,0,0,9,3249,21,6787,8192,719,7,20,0,0,0,0,0,0,0,0,BENIGN
23,179.1.4.245-10.200.7.196-443-35678-6,10.200.7.196,35678,179.1.4.245,443,6,26/04/201711:13:39,78404,15,12,373,12220,223,0,24.8666666666667,67.05740256001,2517,0,1018.33333333333,766.018316103512,160616.805265037,344.370185194633,3015.53846153846,5887.50703935558,26211,0,78404,5600.28571428571,10365.3454907619,37888,0,45036,4094.18181818182,6414.94913180427,17749,0,0,0,0,0,608,392,191.316769552574,153.053415642059,0,2517,449.75,702.038968265269,492858.712962963,0,0,0,1,0,0,0,0,0,466.407407407407,24.8666666666667,1018.33333333333,608,0,0,0,0,0,0,15,373,12,12220,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
24,179.1.4.245-10.200.7.196-443-48551-6,10.200.7.196,48551,179.1.4.245,443,6,26/04/201711:13:51,117581,16,13,373,11396,223,0,23.3125,65.0811992821275,1436,0,876.615384615385,596.314030588685,100092.702052202,246.638487510737,4199.32142857143,9416.63783300825,36236,0,117581,7838.73333333333,14696.1248413444,49099,0,40727,3393.91666666667,5392.71033995022,16015,0,0,0,0,0,648,424,136.076406902476,110.562080608262,0,1436,392.3,578.709750965084,334904.975862069,0,0,0,1,0,0,0,0,0,405.827586206897,23.3125,876.615384615385,648,0,0,0,0,0,0,16,373,13,11396,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
25,179.1.4.245-10.200.7.196-443-48561-6,10.200.7.196,48561,179.1.4.245,443,6,26/04/201711:13:52,145931,15,6,373,3559,223,0,24.8666666666667,67.05740256001,1436,0,593.166666666667,691.849815109223,26944.2407713234,143.903625686112,7296.55,15595.7757825806,61357,0,145931,10423.6428571429,20055.3190128901,61357,0,41375,8275,8988.64380760524,21251,2,0,0,0,0,596,200,102.788304061509,41.1153216246034,0,1436,178.727272727273,429.497733440239,184468.303030303,0,0,0,1,0,0,0,0,0,187.238095238095,24.8666666666667,593.166666666667,596,0,0,0,0,0,0,15,373,6,3559,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
26,179.1.4.245-10.200.7.196-443-48575-6,10.200.7.196,48575,179.1.4.245,443,6,26/04/201711:13:53,137847,16,10,373,11396,223,0,23.3125,65.0811992821275,2660,0,1139.6,1027.25180295129,85377.266099371,188.614913636133,5513.88,12870.3359976861,54951,0,137847,9189.8,18159.7065709459,54951,0,39808,4423.11111111111,6130.97274998928,17669,1,0,0,0,0,608,328,116.070716083774,72.5441975523588,0,2660,435.888888888889,818.68446694087,670244.256410257,0,0,0,1,0,0,0,0,0,452.653846153846,23.3125,1139.6,608,0,0,0,0,0,0,16,373,10,11396,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
27,179.1.4.245-10.200.7.196-443-48584-6,10.200.7.196,48584,179.1.4.245,443,6,26/04/201711:13:54,73228,15,11,373,11396,223,0,24.8666666666667,67.05740256001,2305,0,1036,818.789960856873,160717.211995412,355.055443273065,2929.12,5371.75829625024,18086,0,73228,5230.57142857143,9662.07723098829,34738,0,46312,4631.2,7568.35619610435,22999,0,0,0,0,0,568,360,204.839678811384,150.215764461681,0,2305,435.888888888889,719.31267050478,517410.717948718,0,0,0,1,0,0,0,0,0,452.653846153846,24.8666666666667,1036,568,0,0,0,0,0,0,15,373,11,11396,14600,243,2,32,0,0,0,0,0,0,0,0,BENIGN
28,10.200.7.199-64.4.23.159-55361-443-6,10.200.7.199,55361,64.4.23.159,443,6,26/04/201711:12:12,106023216,216,203,35896,35504,2515,0,166.185185185185,355.197570915331,1436,0,174.896551724138,391.873317752393,673.437410161186,3.95196463385906,253644.057416268,1395630.04708176,21121594,0,106023216,493131.237209302,1920089.30997107,21121594,0,101851933,504217.49009901,1979091.62170947,21247669,0,0,0,0,0,6920,6504,2.0372896441851,1.91467498967396,0,2515,170,372.639818548074,138860.434367542,0,0,0,1,0,0,0,0,0,170.405727923628,166.185185185185,174.896551724138,6920,0,0,0,0,0,0,216,35896,203,35504,5840,83,95,32,13029421.75,23946558.5527308,48911982,124121,12433442.75,5985514.94931641,21121594,8342029,BENIGN
